postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3424,769,0,0,0,0,0,30/09/2020,01/10/2020
3427,2761,0,21,0,0,0,30/09/2020,01/10/2020
3428,680,0,1,0,0,0,30/09/2020,01/10/2020
3429,36296,0,176,0,0,0,30/09/2020,01/10/2020
3430,322,0,0,0,0,0,30/09/2020,01/10/2020
3431,3945,0,8,0,0,0,30/09/2020,01/10/2020
3432,196,0,0,0,0,0,30/09/2020,01/10/2020
3433,216,0,2,0,0,0,30/09/2020,01/10/2020
3434,5070,0,9,0,0,0,30/09/2020,01/10/2020
3435,2878,0,4,0,0,0,30/09/2020,01/10/2020
3437,10445,0,11,0,0,0,30/09/2020,01/10/2020
3438,2386,0,3,0,0,0,30/09/2020,01/10/2020
3440,2040,0,2,0,0,0,30/09/2020,01/10/2020
3441,1337,0,2,0,0,0,30/09/2020,01/10/2020
3442,7463,0,9,0,0,0,30/09/2020,01/10/2020
3444,9197,0,8,0,0,0,30/09/2020,01/10/2020
3446,1028,0,0,0,0,0,30/09/2020,01/10/2020
3447,448,0,0,0,0,0,30/09/2020,01/10/2020
3448,878,0,0,0,0,0,30/09/2020,01/10/2020
3450,6838,0,3,0,0,0,30/09/2020,01/10/2020
3451,5654,0,3,0,0,0,30/09/2020,01/10/2020
3453,1725,0,1,0,0,0,30/09/2020,01/10/2020
3458,1947,0,2,0,0,0,30/09/2020,01/10/2020
3460,2566,0,0,0,0,0,30/09/2020,01/10/2020
3461,4150,0,0,0,0,0,30/09/2020,01/10/2020
3462,1173,0,1,0,0,0,30/09/2020,01/10/2020
3463,2454,0,2,0,0,0,30/09/2020,01/10/2020
3464,1118,0,0,0,0,0,30/09/2020,01/10/2020
3465,9770,0,2,0,0,0,30/09/2020,01/10/2020
3467,1196,0,1,0,0,0,30/09/2020,01/10/2020
3468,284,0,0,0,0,0,30/09/2020,01/10/2020
3469,278,0,0,0,0,0,30/09/2020,01/10/2020
3472,1482,0,0,0,0,0,30/09/2020,01/10/2020
3475,348,0,0,0,0,0,30/09/2020,01/10/2020
3477,824,0,0,0,0,0,30/09/2020,01/10/2020
3478,2457,0,1,0,0,0,30/09/2020,01/10/2020
3480,1862,0,0,0,0,0,30/09/2020,01/10/2020
3482,169,0,0,0,0,0,30/09/2020,01/10/2020
3483,888,0,0,0,0,0,30/09/2020,01/10/2020
3485,302,0,0,0,0,0,30/09/2020,01/10/2020
3487,96,0,0,0,0,0,30/09/2020,01/10/2020
3488,110,0,0,0,0,0,30/09/2020,01/10/2020
3489,53,0,0,0,0,0,30/09/2020,01/10/2020
3490,1290,0,0,0,0,0,30/09/2020,01/10/2020
3491,133,0,0,0,0,0,30/09/2020,01/10/2020
3494,661,0,0,0,0,0,30/09/2020,01/10/2020
3496,6224,0,1,0,0,0,30/09/2020,01/10/2020
3498,5324,0,3,0,0,0,30/09/2020,01/10/2020
3500,32738,0,2,0,0,0,30/09/2020,01/10/2020
3501,1939,0,0,0,0,0,30/09/2020,01/10/2020
3505,4829,0,0,0,0,0,30/09/2020,01/10/2020
3506,37,0,0,0,0,0,30/09/2020,01/10/2020
3507,157,0,0,0,0,0,30/09/2020,01/10/2020
3509,231,0,0,0,0,0,30/09/2020,01/10/2020
3512,371,0,0,0,0,0,30/09/2020,01/10/2020
3515,1940,0,4,0,0,0,30/09/2020,01/10/2020
3516,694,0,0,0,0,0,30/09/2020,01/10/2020
3517,1416,0,0,0,0,0,30/09/2020,01/10/2020
3518,1307,0,1,0,0,0,30/09/2020,01/10/2020
3520,179,0,0,0,0,0,30/09/2020,01/10/2020
3521,660,0,0,0,0,0,30/09/2020,01/10/2020
3522,334,1,1,299.4,0,5,30/09/2020,01/10/2020
3523,3619,0,8,0,0,0,30/09/2020,01/10/2020
3525,1302,0,0,0,0,0,30/09/2020,01/10/2020
3527,785,0,0,0,0,0,30/09/2020,01/10/2020
3529,120,0,0,0,0,0,30/09/2020,01/10/2020
3530,125,0,0,0,0,0,30/09/2020,01/10/2020
3531,191,0,0,0,0,0,30/09/2020,01/10/2020
3533,779,0,0,0,0,0,30/09/2020,01/10/2020
3537,1042,0,1,0,0,0,30/09/2020,01/10/2020
3540,286,0,0,0,0,0,30/09/2020,01/10/2020
3542,155,0,0,0,0,0,30/09/2020,01/10/2020
3544,249,0,0,0,0,0,30/09/2020,01/10/2020
3546,403,0,0,0,0,0,30/09/2020,01/10/2020
3549,3527,0,0,0,0,0,30/09/2020,01/10/2020
3550,40341,0,33,0,0,0,30/09/2020,01/10/2020
3551,29564,0,19,0,0,0,30/09/2020,01/10/2020
3555,19688,0,31,0,0,0,30/09/2020,01/10/2020
3556,13087,0,3,0,0,0,30/09/2020,01/10/2020
3557,785,0,0,0,0,0,30/09/2020,01/10/2020
3558,916,0,0,0,0,0,30/09/2020,01/10/2020
3559,545,0,0,0,0,0,30/09/2020,01/10/2020
3561,4434,0,3,0,0,0,30/09/2020,01/10/2020
3562,278,0,0,0,0,0,30/09/2020,01/10/2020
3563,808,0,0,0,0,0,30/09/2020,01/10/2020
3564,15944,0,3,0,0,0,30/09/2020,01/10/2020
3565,107,0,0,0,0,0,30/09/2020,01/10/2020
3566,556,0,0,0,0,0,30/09/2020,01/10/2020
3567,654,0,0,0,0,0,30/09/2020,01/10/2020
3568,2948,0,0,0,0,0,30/09/2020,01/10/2020
3570,752,0,0,0,0,0,30/09/2020,01/10/2020
3571,319,0,0,0,0,0,30/09/2020,01/10/2020
3572,151,0,0,0,0,0,30/09/2020,01/10/2020
3573,331,0,3,0,0,0,30/09/2020,01/10/2020
3575,807,0,0,0,0,0,30/09/2020,01/10/2020
3576,72,0,0,0,0,0,30/09/2020,01/10/2020
3579,5362,0,2,0,0,0,30/09/2020,01/10/2020
3580,990,0,0,0,0,0,30/09/2020,01/10/2020
3581,163,0,0,0,0,0,30/09/2020,01/10/2020
3583,208,0,0,0,0,0,30/09/2020,01/10/2020
3584,1139,0,0,0,0,0,30/09/2020,01/10/2020
3585,11205,0,4,0,0,0,30/09/2020,01/10/2020
3586,825,0,0,0,0,0,30/09/2020,01/10/2020
3588,359,0,0,0,0,0,30/09/2020,01/10/2020
3589,347,0,0,0,0,0,30/09/2020,01/10/2020
3590,335,0,0,0,0,0,30/09/2020,01/10/2020
3591,164,0,0,0,0,0,30/09/2020,01/10/2020
3594,529,0,1,0,0,0,30/09/2020,01/10/2020
3595,665,0,0,0,0,0,30/09/2020,01/10/2020
3596,96,0,0,0,0,0,30/09/2020,01/10/2020
3597,413,0,0,0,0,0,30/09/2020,01/10/2020
3599,133,0,0,0,0,0,30/09/2020,01/10/2020
3607,136,0,0,0,0,0,30/09/2020,01/10/2020
3608,2417,0,0,0,0,0,30/09/2020,01/10/2020
3610,1714,0,0,0,0,0,30/09/2020,01/10/2020
3612,1708,0,2,0,0,0,30/09/2020,01/10/2020
3614,882,0,2,0,0,0,30/09/2020,01/10/2020
3616,5353,0,3,0,0,0,30/09/2020,01/10/2020
3617,163,0,0,0,0,0,30/09/2020,01/10/2020
3618,675,0,0,0,0,0,30/09/2020,01/10/2020
3620,8241,0,2,0,0,0,30/09/2020,01/10/2020
3621,2368,0,0,0,0,0,30/09/2020,01/10/2020
3622,456,0,1,0,0,0,30/09/2020,01/10/2020
3623,903,0,0,0,0,0,30/09/2020,01/10/2020
3624,558,0,1,0,0,0,30/09/2020,01/10/2020
3629,9130,0,3,0,0,0,30/09/2020,01/10/2020
3630,31266,0,32,0,0,0,30/09/2020,01/10/2020
3631,11610,0,9,0,0,0,30/09/2020,01/10/2020
3632,0,0,0,0,0,0,30/09/2020,01/10/2020
3633,604,0,0,0,0,0,30/09/2020,01/10/2020
