,Year,Year ending,Police Region,Suburb,Incidents Recorded,"Rate per 100,000 population"
91,2019,March,1 North West Metro, Hume,"15,596 ","6,680.1 "
92,2019,March,1 North West Metro, Maribyrnong,"6,672 ","7,139.8 "
93,2019,March,1 North West Metro, Melbourne,"26,575 ","14,850.1 "
94,2019,March,1 North West Metro, Melton,"8,326 ","5,049.3 "
95,2019,March,1 North West Metro, Moonee Valley,"6,487 ","4,978.7 "
96,2019,March,1 North West Metro, Moreland,"11,408 ","6,141.0 "
97,2019,March,1 North West Metro, Nillumbik,"1,626 ","2,497.9 "
98,2019,March,1 North West Metro, Whittlesea,"11,912 ","5,173.8 "
99,2019,March,1 North West Metro, Wyndham,"11,464 ","4,238.3 "
100,2019,March,1 North West Metro, Yarra,"11,183 ","11,018.3 "
101,2019,March,1 North West Metro,Total,"149,033 ","6,602.5 "
102,2019,March,2 Eastern, Alpine,399 ,"3,113.8 "
103,2019,March,2 Eastern, Bass Coast,"1,784 ","4,911.9 "
104,2019,March,2 Eastern, Baw Baw,"3,181 ","5,957.4 "
105,2019,March,2 Eastern, Benalla,878 ,"6,254.9 "
106,2019,March,2 Eastern, Boroondara,"5,564 ","3,037.1 "
107,2019,March,2 Eastern, East Gippsland,"3,198 ","6,758.8 "
108,2019,March,2 Eastern, Greater Shepparton,"6,230 ","9,368.7 "
109,2019,March,2 Eastern, Indigo,371 ,"2,221.4 "
110,2019,March,2 Eastern, Knox,"8,094 ","4,919.2 "
111,2019,March,2 Eastern, Latrobe,"9,942 ","13,157.6 "
112,2019,March,2 Eastern, Manningham,"3,412 ","2,674.5 "
113,2019,March,2 Eastern, Mansfield,321 ,"3,498.3 "
114,2019,March,2 Eastern, Maroondah,"6,035 ","5,090.3 "
115,2019,March,2 Eastern, Mitchell,"3,035 ","6,586.1 "
116,2019,March,2 Eastern, Moira,"1,682 ","5,620.7 "
117,2019,March,2 Eastern, Monash,"8,034 ","3,960.6 "
118,2019,March,2 Eastern, Murrindindi,593 ,"4,070.0 "
119,2019,March,2 Eastern, South Gippsland,996 ,"3,329.5 "
120,2019,March,2 Eastern, Strathbogie,448 ,"4,155.5 "
121,2019,March,2 Eastern, Towong,173 ,"2,864.2 "
