Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2018,March,1 North West Metro, Maribyrnong,"6,585 ","7,203.6 "
2018,March,1 North West Metro, Melbourne,"26,834 ","15,755.3 "
2018,March,1 North West Metro, Melton,"7,804 ","4,979.6 "
2018,March,1 North West Metro, Moonee Valley,"6,691 ","5,231.2 "
2018,March,1 North West Metro, Moreland,"11,022 ","6,063.4 "
2018,March,1 North West Metro, Nillumbik,"1,795 ","2,764.0 "
2018,March,1 North West Metro, Whittlesea,"11,341 ","5,077.7 "
2018,March,1 North West Metro, Wyndham,"10,864 ","4,254.3 "
2018,March,1 North West Metro, Yarra,"10,648 ","10,802.8 "
2018,March,1 North West Metro,Total,"146,028 ","6,662.1 "
2018,March,2 Eastern, Alpine,319 ,"2,505.9 "
2018,March,2 Eastern, Bass Coast,"1,799 ","5,092.6 "
2018,March,2 Eastern, Baw Baw,"2,929 ","5,631.4 "
2018,March,2 Eastern, Benalla,979 ,"6,981.4 "
2018,March,2 Eastern, Boroondara,"5,631 ","3,104.6 "
2018,March,2 Eastern, East Gippsland,"3,057 ","6,529.8 "
2018,March,2 Eastern, Greater Shepparton,"5,980 ","9,059.5 "
2018,March,2 Eastern, Indigo,339 ,"2,055.9 "
2018,March,2 Eastern, Knox,"8,518 ","5,219.0 "
2018,March,2 Eastern, Latrobe,"9,377 ","12,467.9 "
2018,March,2 Eastern, Manningham,"3,660 ","2,915.5 "
2018,March,2 Eastern, Mansfield,453 ,"5,045.1 "
2018,March,2 Eastern, Maroondah,"5,880 ","5,004.0 "
2018,March,2 Eastern, Mitchell,"3,041 ","6,864.9 "
2018,March,2 Eastern, Moira,"1,504 ","5,047.5 "
2018,March,2 Eastern, Monash,"8,299 ","4,145.1 "
2018,March,2 Eastern, Murrindindi,532 ,"3,674.5 "
2018,March,2 Eastern, South Gippsland,"1,006 ","3,401.5 "
2018,March,2 Eastern, Strathbogie,438 ,"4,115.0 "
2018,March,2 Eastern, Towong,171 ,"2,824.6 "
2018,March,2 Eastern, Wangaratta,"1,799 ","6,185.1 "
2018,March,2 Eastern, Wellington,"2,658 ","6,038.6 "
2018,March,2 Eastern, Whitehorse,"6,497 ","3,685.8 "
2018,March,2 Eastern, Wodonga,"2,370 ","5,720.6 "
2018,March,2 Eastern, Yarra Ranges,"5,516 ","3,487.4 "
2018,March,2 Eastern,Total,"82,752 ","4,869.9 "
2018,March,3 Southern Metro, Bayside,"3,898 ","3,686.2 "
2018,March,3 Southern Metro, Cardinia,"4,273 ","3,989.1 "
2018,March,3 Southern Metro, Casey,"14,746 ","4,331.4 "
2018,March,3 Southern Metro, Frankston,"10,724 ","7,560.3 "
2018,March,3 Southern Metro, Glen Eira,"5,233 ","3,399.8 "
2018,March,3 Southern Metro, Greater Dandenong,"13,627 ","8,202.1 "
2018,March,3 Southern Metro, Kingston,"7,907 ","4,837.5 "
2018,March,3 Southern Metro, Mornington Peninsula,"8,520 ","5,138.0 "
2018,March,3 Southern Metro, Port Phillip,"9,798 ","8,650.5 "
2018,March,3 Southern Metro, Stonnington,"8,007 ","6,885.9 "
2018,March,3 Southern Metro,Total,"86,733 ","5,510.2 "
2018,March,4 Western, Ararat,884 ,"7,494.7 "
2018,March,4 Western, Ballarat,"8,901 ","8,293.6 "
2018,March,4 Western, Buloke,168 ,"2,717.1 "
2018,March,4 Western, Campaspe,"2,511 ","6,680.0 "
2018,March,4 Western, Central Goldfields,907 ,"6,867.1 "
2018,March,4 Western, Colac-Otway,"1,242 ","5,776.2 "
2018,March,4 Western, Corangamite,621 ,"3,847.8 "
2018,March,4 Western, Gannawarra,417 ,"3,954.1 "
2018,March,4 Western, Glenelg,"1,196 ","6,082.2 "
2018,March,4 Western, Golden Plains,481 ,"2,080.6 "
2018,March,4 Western, Greater Bendigo,"7,089 ","6,109.0 "
2018,March,4 Western, Greater Geelong,"16,866 ","6,686.8 "
2018,March,4 Western, Hepburn,639 ,"4,041.2 "
2018,March,4 Western, Hindmarsh,253 ,"4,482.6 "
2018,March,4 Western, Horsham,"1,637 ","8,236.9 "
2018,March,4 Western, Loddon,317 ,"4,219.4 "
2018,March,4 Western, Macedon Ranges,"1,523 ","3,083.8 "
2018,March,4 Western, Mildura,"4,823 ","8,687.6 "
2018,March,4 Western, Moorabool,"1,823 ","5,337.3 "
2018,March,4 Western, Mount Alexander,733 ,"3,756.3 "
2018,March,4 Western, Moyne,464 ,"2,747.7 "
2018,March,4 Western, Northern Grampians,802 ,"7,016.6 "
2018,March,4 Western, Pyrenees,307 ,"4,175.2 "
2018,March,4 Western, Queenscliffe,108 ,"3,621.7 "
2018,March,4 Western, Southern Grampians,"1,004 ","6,222.9 "
2018,March,4 Western, Surf Coast,952 ,"2,951.8 "
2018,March,4 Western, Swan Hill,"1,752 ","8,439.3 "
2018,March,4 Western, Warrnambool,"2,707 ","7,764.7 "
2018,March,4 Western, West Wimmera,114 ,"2,951.8 "
2018,March,4 Western, Yarriambiack,358 ,"5,377.0 "
2018,March,4 Western,Total,"61,599 ","6,185.0 "
2018,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,474 ",
2018,March,Justice Institutions and Immigration Facilities,Total,"1,474 ",
2018,March,Unincorporated Vic, Unincorporated Vic,117 ,
2018,March,Unincorporated Vic,Total,117 ,
2017,March,1 North West Metro, Banyule,"7,447 ","5,767.7 "
2017,March,1 North West Metro, Brimbank,"14,672 ","7,088.0 "
2017,March,1 North West Metro, Darebin,"13,201 ","8,315.5 "
2017,March,1 North West Metro, Hobsons Bay,"5,229 ","5,500.1 "
2017,March,1 North West Metro, Hume,"17,031 ","7,912.6 "
2017,March,1 North West Metro, Maribyrnong,"7,193 ","8,049.3 "
2017,March,1 North West Metro, Melbourne,"28,096 ","17,654.8 "
2017,March,1 North West Metro, Melton,"8,968 ","6,034.3 "
2017,March,1 North West Metro, Moonee Valley,"7,758 ","6,186.1 "
2017,March,1 North West Metro, Moreland,"11,803 ","6,669.3 "
2017,March,1 North West Metro, Nillumbik,"2,171 ","3,359.7 "
2017,March,1 North West Metro, Whittlesea,"12,871 ","5,967.5 "
2017,March,1 North West Metro, Wyndham,"11,967 ","4,964.1 "
2017,March,1 North West Metro, Yarra,"11,310 ","11,782.0 "
2017,March,1 North West Metro,Total,"159,717 ","7,526.6 "
2017,March,2 Eastern, Alpine,280 ,"2,215.5 "
2017,March,2 Eastern, Bass Coast,"1,986 ","5,775.6 "
2017,March,2 Eastern, Baw Baw,"2,894 ","5,710.8 "
2017,March,2 Eastern, Benalla,"1,001 ","7,163.3 "
2017,March,2 Eastern, Boroondara,"7,004 ","3,898.1 "
2017,March,2 Eastern, East Gippsland,"2,952 ","6,398.5 "
2017,March,2 Eastern, Greater Shepparton,"6,307 ","9,621.1 "
2017,March,2 Eastern, Indigo,350 ,"2,142.9 "
2017,March,2 Eastern, Knox,"9,325 ","5,762.3 "
2017,March,2 Eastern, Latrobe,"10,349 ","13,815.6 "
2017,March,2 Eastern, Manningham,"4,064 ","3,270.3 "
2017,March,2 Eastern, Mansfield,470 ,"5,343.3 "
2017,March,2 Eastern, Maroondah,"7,070 ","6,078.0 "
2017,March,2 Eastern, Mitchell,"3,141 ","7,321.2 "
2017,March,2 Eastern, Moira,"1,377 ","4,643.9 "
2017,March,2 Eastern, Monash,"9,027 ","4,584.0 "
2017,March,2 Eastern, Murrindindi,525 ,"3,688.4 "
2017,March,2 Eastern, South Gippsland,"1,145 ","3,905.1 "
2017,March,2 Eastern, Strathbogie,462 ,"4,406.7 "
2017,March,2 Eastern, Towong,174 ,"2,881.3 "
2017,March,2 Eastern, Wangaratta,"1,877 ","6,505.4 "
2017,March,2 Eastern, Wellington,"3,224 ","7,360.6 "
2017,March,2 Eastern, Whitehorse,"6,616 ","3,818.5 "
2017,March,2 Eastern, Wodonga,"2,532 ","6,204.1 "
2017,March,2 Eastern, Yarra Ranges,"6,435 ","4,102.1 "
2017,March,2 Eastern,Total,"90,587 ","5,396.4 "
2017,March,3 Southern Metro, Bayside,"4,127 ","3,957.5 "
2017,March,3 Southern Metro, Cardinia,"5,200 ","5,078.0 "
2017,March,3 Southern Metro, Casey,"18,112 ","5,542.7 "
2017,March,3 Southern Metro, Frankston,"12,356 ","8,780.7 "
2017,March,3 Southern Metro, Glen Eira,"5,874 ","3,878.3 "
2017,March,3 Southern Metro, Greater Dandenong,"15,455 ","9,451.6 "
2017,March,3 Southern Metro, Kingston,"8,381 ","5,203.9 "
2017,March,3 Southern Metro, Mornington Peninsula,"8,945 ","5,459.8 "
2017,March,3 Southern Metro, Port Phillip,"10,492 ","9,481.6 "
2017,March,3 Southern Metro, Stonnington,"9,111 ","8,008.1 "
2017,March,3 Southern Metro,Total,"98,053 ","6,373.4 "
2017,March,4 Western, Ararat,910 ,"7,740.7 "
2017,March,4 Western, Ballarat,"9,218 ","8,743.9 "
2017,March,4 Western, Buloke,141 ,"2,272.4 "
2017,March,4 Western, Campaspe,"2,741 ","7,290.5 "
2017,March,4 Western, Central Goldfields,950 ,"7,225.4 "
2017,March,4 Western, Colac-Otway,"1,616 ","7,540.8 "
2017,March,4 Western, Corangamite,801 ,"4,941.4 "
2017,March,4 Western, Gannawarra,528 ,"4,995.7 "
2017,March,4 Western, Glenelg,"1,380 ","7,007.9 "
2017,March,4 Western, Golden Plains,590 ,"2,614.3 "
2017,March,4 Western, Greater Bendigo,"8,032 ","7,040.0 "
2017,March,4 Western, Greater Geelong,"18,085 ","7,359.8 "
2017,March,4 Western, Hepburn,723 ,"4,626.0 "
2017,March,4 Western, Hindmarsh,288 ,"5,036.7 "
2017,March,4 Western, Horsham,"1,756 ","8,830.8 "
2017,March,4 Western, Loddon,393 ,"5,235.1 "
2017,March,4 Western, Macedon Ranges,"1,643 ","3,393.1 "
2017,March,4 Western, Mildura,"5,216 ","9,459.2 "
2017,March,4 Western, Moorabool,"1,981 ","5,923.7 "
2017,March,4 Western, Mount Alexander,908 ,"4,705.4 "
2017,March,4 Western, Moyne,488 ,"2,906.0 "
2017,March,4 Western, Northern Grampians,933 ,"8,101.1 "
2017,March,4 Western, Pyrenees,360 ,"4,892.6 "
2017,March,4 Western, Queenscliffe,135 ,"4,562.4 "
2017,March,4 Western, Southern Grampians,"1,025 ","6,357.4 "
2017,March,4 Western, Surf Coast,"1,068 ","3,407.0 "
2017,March,4 Western, Swan Hill,"1,753 ","8,408.9 "
2017,March,4 Western, Warrnambool,"2,589 ","7,489.4 "
2017,March,4 Western, West Wimmera,123 ,"3,158.7 "
2017,March,4 Western, Yarriambiack,330 ,"4,937.2 "
2017,March,4 Western,Total,"66,704 ","6,795.8 "
2017,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,126 ",
2017,March,Justice Institutions and Immigration Facilities,Total,"1,126 ",
2017,March,Unincorporated Vic, Unincorporated Vic,126 ,
2017,March,Unincorporated Vic,Total,126 ,
2016,March,1 North West Metro, Banyule,"7,225 ","5,669.0 "
2016,March,1 North West Metro, Brimbank,"14,972 ","7,332.4 "
2016,March,1 North West Metro, Darebin,"11,892 ","7,666.0 "
2016,March,1 North West Metro, Hobsons Bay,"5,544 ","5,932.9 "
2016,March,1 North West Metro, Hume,"15,602 ","7,535.7 "
2016,March,1 North West Metro, Maribyrnong,"7,178 ","8,256.1 "
2016,March,1 North West Metro, Melbourne,"25,675 ","17,574.1 "
2016,March,1 North West Metro, Melton,"8,792 ","6,216.9 "
2016,March,1 North West Metro, Moonee Valley,"7,063 ","5,748.3 "
2016,March,1 North West Metro, Moreland,"11,176 ","6,486.6 "
2016,March,1 North West Metro, Nillumbik,"2,092 ","3,259.9 "
2016,March,1 North West Metro, Whittlesea,"11,095 ","5,358.4 "
2016,March,1 North West Metro, Wyndham,"11,954 ","5,265.9 "
2016,March,1 North West Metro, Yarra,"10,384 ","11,178.3 "
2016,March,1 North West Metro,Total,"150,644 ","7,355.6 "
2016,March,2 Eastern, Alpine,328 ,"2,607.7 "
2016,March,2 Eastern, Bass Coast,"2,023 ","6,045.3 "
2016,March,2 Eastern, Baw Baw,"2,652 ","5,379.7 "
2016,March,2 Eastern, Benalla,891 ,"6,372.5 "
2016,March,2 Eastern, Boroondara,"6,146 ","3,466.9 "
2016,March,2 Eastern, East Gippsland,"3,278 ","7,188.6 "
2016,March,2 Eastern, Greater Shepparton,"5,670 ","8,713.4 "
2016,March,2 Eastern, Indigo,383 ,"2,369.3 "
2016,March,2 Eastern, Knox,"7,686 ","4,793.2 "
2016,March,2 Eastern, Latrobe,"9,374 ","12,562.0 "
2016,March,2 Eastern, Manningham,"3,403 ","2,776.4 "
2016,March,2 Eastern, Mansfield,416 ,"4,795.9 "
2016,March,2 Eastern, Maroondah,"6,063 ","5,281.4 "
2016,March,2 Eastern, Mitchell,"2,980 ","7,130.0 "
2016,March,2 Eastern, Moira,"1,189 ","4,032.4 "
2016,March,2 Eastern, Monash,"7,876 ","4,088.8 "
2016,March,2 Eastern, Murrindindi,569 ,"4,049.2 "
2016,March,2 Eastern, South Gippsland,892 ,"3,063.0 "
2016,March,2 Eastern, Strathbogie,400 ,"3,862.1 "
2016,March,2 Eastern, Towong,181 ,"2,993.7 "
2016,March,2 Eastern, Wangaratta,"1,667 ","5,830.3 "
2016,March,2 Eastern, Wellington,"3,100 ","7,121.5 "
2016,March,2 Eastern, Whitehorse,"5,842 ","3,443.7 "
2016,March,2 Eastern, Wodonga,"2,567 ","6,401.5 "
2016,March,2 Eastern, Yarra Ranges,"5,739 ","3,697.2 "
2016,March,2 Eastern,Total,"81,315 ","4,913.2 "
2016,March,3 Southern Metro, Bayside,"3,828 ","3,719.7 "
2016,March,3 Southern Metro, Cardinia,"4,956 ","5,079.3 "
2016,March,3 Southern Metro, Casey,"15,786 ","5,046.9 "
2016,March,3 Southern Metro, Frankston,"11,185 ","8,017.8 "
2016,March,3 Southern Metro, Glen Eira,"5,207 ","3,504.4 "
2016,March,3 Southern Metro, Greater Dandenong,"14,066 ","8,779.1 "
2016,March,3 Southern Metro, Kingston,"8,365 ","5,263.0 "
2016,March,3 Southern Metro, Mornington Peninsula,"8,590 ","5,318.0 "
2016,March,3 Southern Metro, Port Phillip,"9,867 ","9,083.4 "
2016,March,3 Southern Metro, Stonnington,"8,051 ","7,253.0 "
2016,March,3 Southern Metro,Total,"89,901 ","5,986.7 "
2016,March,4 Western, Ararat,879 ,"7,484.0 "
2016,March,4 Western, Ballarat,"9,034 ","8,728.5 "
2016,March,4 Western, Buloke,177 ,"2,816.7 "
2016,March,4 Western, Campaspe,"2,518 ","6,697.7 "
2016,March,4 Western, Central Goldfields,911 ,"6,961.1 "
2016,March,4 Western, Colac-Otway,"1,207 ","5,650.2 "
2016,March,4 Western, Corangamite,562 ,"3,460.0 "
2016,March,4 Western, Gannawarra,440 ,"4,163.9 "
2016,March,4 Western, Glenelg,"1,246 ","6,306.0 "
2016,March,4 Western, Golden Plains,600 ,"2,725.3 "
2016,March,4 Western, Greater Bendigo,"6,640 ","5,914.5 "
2016,March,4 Western, Greater Geelong,"16,888 ","7,050.5 "
2016,March,4 Western, Hepburn,612 ,"3,942.0 "
2016,March,4 Western, Hindmarsh,168 ,"2,904.6 "
2016,March,4 Western, Horsham,"2,035 ","10,234.4 "
2016,March,4 Western, Loddon,309 ,"4,088.4 "
2016,March,4 Western, Macedon Ranges,"1,617 ","3,405.6 "
2016,March,4 Western, Mildura,"4,699 ","8,597.1 "
2016,March,4 Western, Moorabool,"1,666 ","5,099.2 "
2016,March,4 Western, Mount Alexander,809 ,"4,236.3 "
2016,March,4 Western, Moyne,427 ,"2,551.2 "
2016,March,4 Western, Northern Grampians,824 ,"7,121.9 "
2016,March,4 Western, Pyrenees,414 ,"5,658.8 "
2016,March,4 Western, Queenscliffe,146 ,"4,984.6 "
2016,March,4 Western, Southern Grampians,851 ,"5,278.2 "
2016,March,4 Western, Surf Coast,"1,207 ","3,961.9 "
2016,March,4 Western, Swan Hill,"1,608 ","7,695.3 "
2016,March,4 Western, Warrnambool,"2,208 ","6,448.2 "
2016,March,4 Western, West Wimmera,115 ,"2,921.0 "
