,postcode,Postal_Town,population,active,cases,rate,data_date
1570,3561,ROCHESTER,4434.0,0,3,0.0,30/09/2020
1571,3561,NANNEELLA,4434.0,0,3,0.0,30/09/2020
1572,3561,ROCHESTER,4434.0,0,3,0.0,30/09/2020
1573,3561,ROCHESTER,4434.0,0,3,0.0,30/09/2020
1574,3563,LOCKINGTON,808.0,0,0,0.0,30/09/2020
1575,3564,ECHUCA,15944.0,0,3,0.0,30/09/2020
1576,3564,ECHUCA,15944.0,0,3,0.0,30/09/2020
1577,3564,ECHUCA,15944.0,0,3,0.0,30/09/2020
1578,3564,Echuca,15944.0,0,3,0.0,30/09/2020
1579,3564,ECHUCA,15944.0,0,3,0.0,30/09/2020
1580,3564,ECHUCA WEST,15944.0,0,3,0.0,30/09/2020
1581,3564,ECHUCA,15944.0,0,3,0.0,30/09/2020
1582,3564,ECHUCA,15944.0,0,3,0.0,30/09/2020
1583,3566,GUNBOWER,556.0,0,0,0.0,30/09/2020
1584,3567,LEITCHVILLE,654.0,0,0,0.0,30/09/2020
1585,3568,COHUNA,2948.0,0,0,0.0,30/09/2020
1586,3568,COHUNA,2948.0,0,0,0.0,30/09/2020
1587,3568,COHUNA,2948.0,0,0,0.0,30/09/2020
1588,3570,RAYWOOD,752.0,0,0,0.0,30/09/2020
1589,3571,DINGEE,319.0,0,0,0.0,30/09/2020
1590,3575,PYRAMID HILL,807.0,0,0,0.0,30/09/2020
1591,3575,PYRAMID HILL,807.0,0,0,0.0,30/09/2020
1592,3579,KERANG,5362.0,0,2,0.0,30/09/2020
1593,3579,MURRABIT,5362.0,0,2,0.0,30/09/2020
1594,3579,Kerang,5362.0,0,2,0.0,30/09/2020
1595,3579,KERANG,5362.0,0,2,0.0,30/09/2020
1596,3579,KERANG,5362.0,0,2,0.0,30/09/2020
1597,3579,KERANG,5362.0,0,2,0.0,30/09/2020
1598,3580,KOONDROOK,990.0,0,0,0.0,30/09/2020
1599,3581,LAKE CHARM,163.0,0,0,0.0,30/09/2020
1600,3584,LAKE BOGA,1139.0,0,0,0.0,30/09/2020
1601,3585,SWAN HILL,11205.0,0,4,0.0,30/09/2020
1602,3585,SWAN HILL,11205.0,0,4,0.0,30/09/2020
1603,3585,SWAN HILL,11205.0,0,4,0.0,30/09/2020
1604,3585,SWAN HILL,11205.0,0,4,0.0,30/09/2020
1605,3585,SWAN HILL,11205.0,0,4,0.0,30/09/2020
1606,3585,SWAN HILL,11205.0,0,4,0.0,30/09/2020
1607,3585,SWAN HILL,11205.0,0,4,0.0,30/09/2020
1608,3588,WOORINEN SOUTH,359.0,0,0,0.0,30/09/2020
1609,3590,BEVERFORD,335.0,0,0,0.0,30/09/2020
1610,3595,NYAH WEST,665.0,0,0,0.0,30/09/2020
1611,3608,NAGAMBIE,2417.0,0,0,0.0,30/09/2020
