,index,month_sold,lga_pid,suburb,price
66,66,02,VIC91,Springvale,360000.0
67,67,02,VIC95,Werribee,495000.0
68,68,02,VIC96,Sunbury,605000.0
69,69,02,VIC96,Craigieburn,575000.0
70,70,02,VIC96,Sunbury,580000.0
71,71,02,VIC101,Yarraville,880000.0
72,72,02,VIC116,Brighton,450000.0
73,73,02,VIC125,Mornington,711000.0
74,74,02,VIC125,Rye,1375000.0
75,75,02,VIC127,Cranbourne,520000.0
76,76,02,VIC127,Berwick,815000.0
77,77,02,VIC127,Cranbourne,370000.0
78,78,02,VIC127,Berwick,700000.0
79,79,02,VIC128,Bayswater,735000.0
80,80,02,VIC128,Boronia,600000.0
81,81,02,VIC128,Wantirna,955500.0
82,82,02,VIC128,Wantirna,907000.0
83,83,02,VIC132,Kensington,371000.0
84,84,02,VIC161,Cockatoo,730000.0
85,85,02,VIC165,Ivanhoe,1750000.0
86,86,02,VIC176,Burnside,590000.0
87,87,02,VIC88,Frankston,381000.0
88,88,02,VIC88,Frankston,755000.0
89,89,02,VIC101,Braybrook,838500.0
90,90,02,VIC107,Melbourne,610000.0
91,91,02,VIC107,Melbourne,610000.0
92,92,02,VIC107,Melbourne,306000.0
93,93,02,VIC107,Melbourne,306000.0
94,94,02,VIC107,Melbourne,330000.0
95,95,02,VIC107,Melbourne,330000.0
96,96,02,VIC107,Melbourne,325888.0
97,97,02,VIC107,Melbourne,325888.0
98,98,02,VIC114,Doreen,747000.0
99,99,02,VIC114,Lalor,630000.0
100,100,02,VIC114,Wollert,540000.0
101,101,02,VIC114,Wollert,605000.0
102,102,02,VIC115,Collingwood,450000.0
103,103,02,VIC115,Abbotsford,560000.0
104,104,02,VIC115,Abbotsford,401000.0
105,105,02,VIC125,Somerville,606000.0
106,106,02,VIC125,Somerville,850000.0
107,107,02,VIC125,Hastings,555000.0
108,108,02,VIC125,Rye,620000.0
109,109,02,VIC125,Dromana,645000.0
110,110,02,VIC125,Rosebud,520000.0
111,111,02,VIC125,Rosebud,535000.0
112,112,02,VIC125,Rosebud,629900.0
113,113,02,VIC127,Berwick,635000.0
114,114,02,VIC127,Berwick,1240000.0
115,115,02,VIC127,Lynbrook,660000.0
116,116,02,VIC127,Berwick,745000.0
117,117,02,VIC127,Cranbourne,657000.0
118,118,02,VIC127,Tooradin,750000.0
119,119,02,VIC128,Boronia,717000.0
120,120,02,VIC128,Boronia,580000.0
121,121,02,VIC128,Scoresby,785000.0
122,122,02,VIC128,Rowville,1420000.0
123,123,02,VIC129,Lilydale,810000.0
124,124,02,VIC129,Emerald,1127000.0
125,125,02,VIC129,Lilydale,532500.0
126,126,02,VIC129,Warburton,495000.0
127,127,02,VIC132,Carlton,460000.0
