Suburb,Postcode,LGA_ID,LGA_Name
Doreen,3754,571,Nillumbik
Talbot,3371,167,Central
Yarra Glen,3775,745,Yarra
Elmhurst,3469,26,Ararat
Kangaroo Flat,3555,262,Greater
Westmeadows,3049,327,Hume
Sunbury,3429,327,Hume
Diamond Creek,3089,571,Nillumbik
Axedale,3551,262,Greater
Vermont,3133,698,Whitehorse
Tarnagulla,3551,394,Loddon
Balwyn,3103,111,Boroondara
Scoresby,3179,367,Knox
Carisbrook,3464,167,Central
Wandin North,3139,745,Yarra
Coldstream,3770,745,Yarra
Dartmoor,3304,241,Glenelg
Mickleham,3064,327,Hume
Inglewood,3517,394,Loddon
Chewton,3451,543,Mount
Bolinda,3432,413,Macedon
Napoleons,3352,249,Golden
Kew,3101,111,Boroondara
Haddon,3351,249,Golden
Panmure,3265,549,Moyne
Sorrento,3943,534,Mornington
Alfredton,3350,57,Ballarat
Bridgewater,3516,394,Loddon
Hastings,3915,534,Mornington
Yackandandah,3749,335,Indigo
Nagambie,3608,643,Strathbogie
Heyfield,3858,681,Wellington
Moorabbin,3189,343,Kingston
Mansfield,3724,425,Mansfield
Indigo Valley,3688,335,Indigo
Briagolong,3860,681,Wellington
Lindenow,3865,211,East
Broadford,3658,485,Mitchell
Murchison,3610,283,Greater
Panton Hill,3759,571,Nillumbik
Glen Park,3352,515,Moorabool
Concongella,3384,581,Northern
Bruthen,3885,211,East
Swan Hill,3585,661,Swan
Porepunkah,3740,11,Alpine
Leopold,3224,275,Greater
Inverleigh,3321,249,Golden
Glen Iris,3146,111,Boroondara
Trawalla,3373,599,Pyrenees
Bendigo Dc,3554,262,Greater
Sebastopol,3356,57,Ballarat
Woodside,3874,681,Wellington
Noorat,3265,183,Corangamite
Albert Park,3206,590,Port
Williamstown,3016,311,Hobsons
Rye,3941,534,Mornington
Queenscliff,3225,608,Queenscliffe
Portland North,3305,241,Glenelg
Timor,3465,167,Central
Apsley,3319,689,West
Strathfieldsaye,3551,262,Greater
Carrum Downs,3201,217,Frankston
Tooborac,3522,485,Mitchell
Carlton North,3054,735,Yarra
Maldon,3463,543,Mount
Woori Yallock,3139,745,Yarra
Moyston,3377,26,Ararat
Buninyong,3357,57,Ballarat
Marysville,3779,562,Murrindindi
Langley,3444,543,Mount
Wandong,3758,485,Mitchell
Cowes,3922,74,Bass
Bullarto,3461,291,Hepburn
Lismore,3324,183,Corangamite
Lower Plenty,3093,66,Banyule
Golden Square,3555,262,Greater
Bolwarra,3305,241,Glenelg
Navarre,3384,581,Northern
Warracknabeal,3393,763,Yarriambiack
Moyhu,3732,670,Wangaratta
Natte Yallock,3465,599,Pyrenees
Clifton Hill,3068,735,Yarra
Christmas Hills,3775,571,Nillumbik
Tallangatta,3700,667,Towong
Kialla,3631,283,Greater
Mount Eliza,3930,534,Mornington
San Remo,3925,74,Bass
Dimboola,3414,298,Hindmarsh
Whorouly,3735,670,Wangaratta
Merrijig,3723,425,Mansfield
Lethbridge,3332,249,Golden
Oxley,3678,670,Wangaratta
Northcote,3070,189,Darebin
North Melbourne,3051,460,Melbourne
Dandenong,3175,267,Greater
Malmsbury,3446,413,Macedon
Williamstown North,3016,311,Hobsons
Kerang,3579,225,Gannawarra
Drouin,3818,83,Baw
Meredith,3333,249,Golden
Edi Upper,3678,670,Wangaratta
Mooroopna,3629,283,Greater
Cairnlea,3023,118,Brimbank
Ballan,3342,515,Moorabool
Tatura,3616,283,Greater
Toolamba,3614,283,Greater
Osbornes Flat,3691,335,Indigo
Frankston East Lpo,3199,217,Frankston
Donald,3480,127,Buloke
Beveridge,3753,485,Mitchell
St Kilda,3182,590,Port
Cape Clear,3351,249,Golden
Warburton,3799,745,Yarra
Tallarook,3659,485,Mitchell
Barnawartha,3688,335,Indigo
Fitzroy North,3068,735,Yarra
Geelong West,3218,275,Greater
Tooradin,3980,161,Casey
