Suburb,Postcode,LGA_ID,LGA_Name
Bundoora,3083,707,Whittlesea
Macclesfield,3782,745,Yarra
Black Rock,3193,91,Bayside
Mount Evelyn,3796,745,Yarra
Kilsyth,3137,745,Yarra
Wonthaggi,3995,74,Bass
Spotswood,3015,311,Hobsons
Clyde,3978,161,Casey
Noble Park,3174,267,Greater
Deepdene,3103,111,Boroondara
Clifton Creek,3875,211,East
Cardinia,3978,145,Cardinia
Grahamvale,3631,283,Greater
Glen Huntly,3163,231,Glen
Nanneella,3561,137,Campaspe
Wantirna,3152,367,Knox
Melton South,3338,465,Melton
Chelsea,3196,343,Kingston
Nowa Nowa,3887,211,East
Hampton,3188,91,Bayside
"St Kilda Rd Central, Melbourne",8008,460,Melbourne
Balliang East,3340,515,Moorabool
Edithvale,3196,343,Kingston
Orrvale,3631,283,Greater
Underbool,3509,478,Mildura
Caulfield North,3161,231,Glen
Seaford,3198,217,Frankston
Burwood,3125,698,Whitehorse
Murrabit,3579,225,Gannawarra
Brighton East,3187,91,Bayside
Cromer,3193,91,Bayside
Dookie Campus,3647,283,Greater
Cann River,3890,211,East
Altona,3018,311,Hobsons
Devon Meadows,3977,161,Casey
Upper Ferntree Gully,3156,367,Knox
Eildon,3713,562,Murrindindi
Bittern,3918,534,Mornington
Colbinabbin,3559,137,Campaspe
Stanhope,3623,137,Campaspe
Hurstbridge,3099,571,Nillumbik
Elwood,3184,590,Port
Mont Albert,3127,698,Whitehorse
Dhurringile,3610,283,Greater
Strathewen,3099,571,Nillumbik
Don Valley,3139,745,Yarra
Reservoir,3073,189,Darebin
Yallourn North,3825,381,Latrobe
Girgarre,3624,137,Campaspe
Yaapeet,3424,763,Yarriambiack
Gladysdale,3797,745,Yarra
Kallista,3791,745,Yarra
Essendon North,3041,506,Moonee
Red Cliffs,3496,478,Mildura
Hampton Park,3976,161,Casey
St Kilda East,3183,231,Glen
Noojee,3833,83,Baw
Montmorency,3094,66,Banyule
Moriac,3240,649,Surf
Ringwood North,3134,441,Maroondah
Bayswater,3153,441,Maroondah
Point Cook,3030,726,Wyndham
Airly,3851,681,Wellington
Parkdale,3195,343,Kingston
Hughesdale,3166,497,Monash
Aspendale,3195,343,Kingston
Eltham North,3095,571,Nillumbik
Manifold Heights,3218,275,Greater
Nungurner,3909,211,East
Dingley Village,3172,343,Kingston
Cardross,3496,478,Mildura
Albion,3020,118,Brimbank
Lemnos,3631,283,Greater
Tarwin Lower,3956,617,South
Surrey Hills,3127,111,Boroondara
Caulfield South,3162,231,Glen
Ashburton,3147,111,Boroondara
Seaspray,3851,681,Wellington
Anglesea,3230,649,Surf
Briar Hill,3088,66,Banyule
Zeerust,3634,283,Greater
Ormond,3204,231,Glen
Clayton South,3169,343,Kingston
Ivanhoe East,3079,66,Banyule
Cobains,3851,681,Wellington
Mildura South,3501,478,Mildura
Katandra West,3634,283,Greater
Narre Warren,3805,161,Casey
Somers,3927,534,Mornington
Pascoe Vale South,3044,525,Moreland
Rosanna,3084,66,Banyule
Wantirna South,3152,367,Knox
Strathmore,3041,506,Moonee
Balwyn North,3104,111,Boroondara
Mount Beauty,3699,11,Alpine
East Coburg,3058,189,Darebin
Newborough,3825,381,Latrobe
Shepparton,3632,283,Greater
Shepparton,3630,283,Greater
Hamlyn Heights,3218,275,Greater
Karingal Centre,3199,217,Frankston
Selby,3159,745,Yarra
Moorabbin,3189,231,Glen
Ballarat North,3350,57,Ballarat
Bandiana Milpo,3694,717,Wodonga
Horsham,3402,319,Horsham
Ringwood East,3135,441,Maroondah
Lalor,3075,707,Whittlesea
Bentleigh East,3165,231,Glen
Blackburn North,3130,698,Whitehorse
Oakleigh South,3167,497,Monash
Box Hill North,3129,698,Whitehorse
Ferntree Gully,3156,367,Knox
Oak Park,3046,525,Moreland
Sunshine North,3020,118,Brimbank
Cheltenham,3192,343,Kingston
Cranbourne South,3977,161,Casey
Lake Gardens,3355,57,Ballarat
East Preston,3072,189,Darebin
North Geelong,3215,275,Greater
Craigieburn,3064,327,Hume
Frankston,3199,217,Frankston
Braybrook,3019,433,Maribyrnong
Bonbeach,3196,343,Kingston
Springvale,3171,267,Greater
Beaumaris,3193,91,Bayside
Hamlyn Heights,3215,275,Greater
Brentford Square,3131,698,Whitehorse
Glenroy,3046,525,Moreland
Avondale Heights,3034,506,Moonee
Doncaster East,3109,421,Manningham
Kerrimuir,3129,698,Whitehorse
Heathmont,3135,441,Maroondah
East Bentleigh,3165,231,Glen
Watsonia,3087,66,Banyule
Kingsbury,3083,189,Darebin
