Suburb,LGA_Name
Hepburn,Hepburn
Lara Lake,Greater
Rosedale,Wellington
Rochester,Campaspe
Ararat,Ararat
Jamieson,Mansfield
Preston,Darebin
Omeo,East
Harrietville,Alpine
Mordialloc,Kingston
Healesville,Yarra
Lake Bolac,Ararat
Toongabbie,Latrobe
Waubra,Pyrenees
Great Western,Northern
Maffra,Wellington
Broken Creek,Benalla
Lal Lal,Moorabool
Cobden,Corangamite
St Leonards,Greater
Lilydale,Yarra
Bendigo,Greater
Darraweit Guim,Macedon
Linton,Golden
Invermay,Ballarat
Mitta Mitta,Towong
Camberwell,Boroondara
Greenvale,Hume
Alexandra,Murrindindi
Bannockburn,Golden
Doreen,Nillumbik
Talbot,Central
Yarra Glen,Yarra
Elmhurst,Ararat
Kangaroo Flat,Greater
Westmeadows,Hume
Sunbury,Hume
Diamond Creek,Nillumbik
Axedale,Greater
Vermont,Whitehorse
Tarnagulla,Loddon
Balwyn,Boroondara
Scoresby,Knox
Carisbrook,Central
Wandin North,Yarra
Coldstream,Yarra
Dartmoor,Glenelg
Mickleham,Hume
Inglewood,Loddon
Chewton,Mount
Bolinda,Macedon
Napoleons,Golden
Kew,Boroondara
Haddon,Golden
Panmure,Moyne
Sorrento,Mornington
Alfredton,Ballarat
Bridgewater,Loddon
Hastings,Mornington
Yackandandah,Indigo
Nagambie,Strathbogie
Heyfield,Wellington
Moorabbin,Kingston
Mansfield,Mansfield
Indigo Valley,Indigo
Briagolong,Wellington
Lindenow,East
Broadford,Mitchell
Murchison,Greater
Panton Hill,Nillumbik
Glen Park,Moorabool
Concongella,Northern
Bruthen,East
Swan Hill,Swan
Porepunkah,Alpine
Leopold,Greater
Inverleigh,Golden
Glen Iris,Boroondara
Trawalla,Pyrenees
Bendigo Dc,Greater
Sebastopol,Ballarat
Woodside,Wellington
Noorat,Corangamite
Albert Park,Port
Williamstown,Hobsons
Rye,Mornington
Queenscliff,Queenscliffe
Portland North,Glenelg
Timor,Central
Apsley,West
Strathfieldsaye,Greater
Carrum Downs,Frankston
Tooborac,Mitchell
Carlton North,Yarra
Maldon,Mount
Woori Yallock,Yarra
Moyston,Ararat
Buninyong,Ballarat
Marysville,Murrindindi
Langley,Mount
Wandong,Mitchell
Cowes,Bass
Bullarto,Hepburn
Lismore,Corangamite
Lower Plenty,Banyule
Golden Square,Greater
Bolwarra,Glenelg
Navarre,Northern
Warracknabeal,Yarriambiack
Moyhu,Wangaratta
Natte Yallock,Pyrenees
Clifton Hill,Yarra
Christmas Hills,Nillumbik
Tallangatta,Towong
Kialla,Greater
Mount Eliza,Mornington
San Remo,Bass
Dimboola,Hindmarsh
Whorouly,Wangaratta
Merrijig,Mansfield
Lethbridge,Golden
Oxley,Wangaratta
Northcote,Darebin
North Melbourne,Melbourne
Dandenong,Greater
Malmsbury,Macedon
Williamstown North,Hobsons
Kerang,Gannawarra
Drouin,Baw
Meredith,Golden
Edi Upper,Wangaratta
Mooroopna,Greater
Cairnlea,Brimbank
Ballan,Moorabool
Tatura,Greater
Toolamba,Greater
Osbornes Flat,Indigo
Frankston East Lpo,Frankston
Donald,Buloke
Beveridge,Mitchell
St Kilda,Port
Cape Clear,Golden
Warburton,Yarra
Tallarook,Mitchell
Barnawartha,Indigo
Fitzroy North,Yarra
Geelong West,Greater
Tooradin,Casey
Elmore,Greater
Dookie,Greater
Brighton,Bayside
Natimuk,Horsham
Murtoa,Yarriambiack
Big Hill,Greater
Clunes,Hepburn
Marnoo,Northern
Ardmona,Greater
Kilmore,Mitchell
Macarthur,Moyne
Barwon Heads,Greater
Keilor,Brimbank
Dunolly,Central
Springhurst,Wangaratta
Dixons Creek,Yarra
Trentham,Hepburn
Warrenheip,Ballarat
Maiden Gully,Greater
Rupanyup,Yarriambiack
Goornong,Greater
Oakleigh,Monash
Ceres,Greater
Malvern,Stonnington
Daylesford,Hepburn
Swan Reach,East
Amphitheatre,Pyrenees
Deans Marsh,Surf
Drysdale,Greater
St Arnaud,Northern
Nullawarre,Moyne
Macedon,Macedon
Arthurs Creek,Nillumbik
Buxton,Murrindindi
Moonambel,Pyrenees
Baringhup,Mount
Longford,Wellington
Harkaway,Casey
Balnarring,Mornington
Londrigan Via Wangaratta,Wangaratta
Euroa,Strathbogie
Pyramid Hill,Loddon
